Country,Area,Waterbody_Type,Date,Ammonia_mg_L,BOD_mg_L,DO_mg_L,Orthophosphate_mg_L,pH,Temperature_C,Nitrogen_mg_L,Nitrate_mg_L,CCME_Values,CCME_WQI
USA,Pennsylvania,Stream,23-09-2021,0.003,0.21,12.57,0.003,6.95,12.9,0.71,1.66,99.61,Excellent
Ireland,Cork,Lake,03-11-2022,0.184,0.38,14.71,0.02,7.33,21.1,3.43,0.73,90.33,Good
China,Beijing,Stream,24-09-2020,0.218,1.05,14.75,0.125,7.45,12.6,0.46,0.41,87.79,Good
Canada,British Columbia,Reservoir,08-04-2022,0.308,1.95,11.87,0.021,7.45,18.2,1.97,0.18,82.15,Good
England,Manchester,Canal,21-07-2023,0.234,,11.53,0.08,7.16,0.0,0.1,0.12,81.86,Good
Canada,Alberta,Reservoir,05-12-2023,0.103,0.26,10.71,0.038,7.69,27.7,1.04,0.86,94.54,Good
Ireland,Dublin,River,23-03-2022,0.423,0.8,11.88,0.002,6.77,18.9,0.55,0.59,77.83,Fair
Ireland,Galway,Lake,19-04-2020,0.22,2.77,11.29,0.054,7.14,8.8,1.6,0.1,85.52,Good
USA,New York,Lake,17-01-2021,0.228,,12.08,0.014,7.89,22.8,0.31,1.04,81.37,Good
USA,Texas,Lake,25-08-2021,0.085,0.84,10.67,0.002,6.88,18.9,0.18,0.88,94.69,Good
Canada,Alberta,Stream,06-09-2022,0.026,0.54,12.66,0.005,7.74,20.6,0.13,0.01,98.02,Excellent
England,Birmingham,Stream,02-10-2020,0.139,0.32,11.6,0.043,7.5,21.8,2.25,2.4,92.63,Good
Ireland,Dublin,Stream,26-02-2020,0.244,0.47,10.43,0.066,7.39,22.8,0.08,3.03,87.23,Good
USA,California,Lake,29-07-2021,0.084,1.95,11.57,0.039,7.75,4.4,0.24,4.82,93.36,Good
USA,California,Reservoir,27-10-2022,0.069,2.43,13.96,0.023,7.02,14.0,0.25,0.45,93.5,Good
Ireland,Limerick,River,13-01-2020,0.001,0.38,13.32,0.048,7.23,5.2,4.14,3.3,99.47,Excellent
China,Beijing,River,29-08-2022,0.008,0.92,8.92,0.05,7.68,20.5,0.15,2.16,95.73,Excellent
China,Jiangsu,Stream,27-12-2023,0.011,6.31,11.47,,6.85,10.4,0.05,0.14,91.56,Good
England,Manchester,Lake,11-06-2020,0.036,2.42,11.3,0.014,7.89,26.3,1.12,1.98,95.18,Excellent
Canada,British Columbia,Stream,28-01-2020,0.035,,10.9,,7.08,11.7,2.98,2.08,97.65,Excellent
Ireland,Limerick,Lake,16-04-2022,0.005,0.43,8.64,0.104,6.84,22.2,0.73,0.17,95.82,Excellent
Ireland,Cork,Pond,20-05-2022,0.021,0.68,12.58,0.084,7.42,21.1,,2.82,98.1,Excellent
USA,Texas,Pond,15-08-2020,0.053,11.77,13.28,0.005,7.2,10.2,0.31,3.33,82.63,Good
Canada,Ontario,Lake,18-12-2022,0.097,6.14,13.72,0.009,6.7,9.0,0.68,0.9,87.46,Good
Ireland,Cork,Pond,07-09-2022,0.03,2.25,11.46,0.176,6.94,23.4,0.64,3.57,95.7,Excellent
Ireland,Cork,Stream,09-12-2021,0.015,0.21,10.16,0.017,7.32,12.3,2.42,1.65,99.01,Excellent
China,Jiangsu,Canal,26-12-2022,0.139,5.24,12.7,0.014,7.33,14.2,4.54,0.59,86.5,Good
USA,New York,Creek,18-12-2021,0.094,0.39,11.95,0.024,7.32,22.3,0.22,0.02,94.82,Good
Canada,British Columbia,Reservoir,18-11-2022,0.044,1.42,12.91,0.007,7.33,22.7,0.68,1.21,96.01,Excellent
Canada,British Columbia,Lake,09-09-2020,0.164,1.16,9.0,0.041,7.41,21.2,2.17,1.09,87.86,Good
China,Shanghai,Creek,26-10-2021,0.27,1.02,8.14,0.013,7.23,23.0,0.1,2.66,80.54,Good
Ireland,Galway,Canal,03-07-2021,0.074,1.13,14.23,0.045,7.64,1.7,1.38,0.75,94.86,Good
USA,California,Pond,29-05-2022,0.09,0.86,10.89,0.108,7.67,18.9,1.25,1.32,94.4,Good
Ireland,Galway,Pond,22-01-2022,0.171,3.7,12.5,0.119,7.53,14.7,3.52,1.03,86.85,Good
Ireland,Limerick,Reservoir,25-10-2020,0.005,0.82,13.43,0.036,7.11,3.9,0.51,0.13,98.73,Excellent
Canada,Ontario,River,13-10-2020,0.011,2.08,13.88,0.099,7.31,9.7,1.08,0.74,96.87,Excellent
Canada,Quebec,Pond,05-07-2022,,0.04,10.88,0.008,6.62,18.8,1.21,0.81,95.55,Excellent
Ireland,Limerick,Pond,25-06-2023,0.312,11.08,12.13,0.007,7.41,10.5,0.32,0.74,70.54,Fair
USA,New York,Stream,26-03-2022,0.201,2.39,12.67,0.058,7.38,13.6,0.17,1.57,86.96,Good
Canada,Quebec,Pond,24-08-2021,0.004,1.43,11.71,0.015,7.46,18.1,1.99,4.92,98.02,Excellent
Canada,Alberta,Lake,03-03-2020,0.203,16.05,11.93,0.135,7.15,15.4,0.78,2.94,69.77,Fair
Canada,Alberta,Pond,13-12-2020,0.022,0.34,13.19,0.02,6.98,22.0,1.13,0.06,98.48,Excellent
USA,New York,Reservoir,26-01-2020,0.349,2.09,10.49,0.0,8.06,7.3,,0.85,79.92,Fair
China,Beijing,Canal,17-05-2020,0.01,1.7,11.91,0.008,6.81,22.3,1.25,0.39,97.36,Excellent
China,Jiangsu,Lake,26-03-2020,0.104,,12.09,0.023,6.28,29.1,0.21,1.09,85.44,Good
Ireland,Galway,Pond,25-07-2023,0.002,7.02,13.67,0.32,6.86,17.4,0.94,2.68,91.14,Good
Canada,Ontario,Stream,31-05-2023,0.039,0.81,14.46,0.054,7.25,0.0,2.17,0.87,97.02,Excellent
Canada,British Columbia,Pond,21-01-2023,0.049,2.3,10.95,0.003,7.56,21.2,1.02,0.65,94.67,Good
China,Shanghai,Reservoir,02-07-2023,0.126,1.3,10.8,0.016,7.29,9.7,0.07,0.83,92.05,Good
Canada,British Columbia,Canal,15-04-2021,0.108,6.4,11.45,0.016,6.57,16.1,0.16,0.4,86.62,Good
Ireland,Dublin,River,04-12-2023,0.163,0.13,13.24,0.003,6.85,6.6,0.09,0.59,91.69,Good
USA,Pennsylvania,River,22-03-2022,0.012,0.36,12.15,0.098,7.65,0.0,0.36,0.37,98.95,Excellent
England,Leeds,Creek,09-08-2021,0.095,1.82,9.83,0.083,6.92,14.9,0.21,0.93,92.53,Good
China,Beijing,Canal,20-05-2022,0.12,2.83,14.2,0.044,7.49,3.3,0.96,1.43,90.48,Good
Ireland,Cork,Reservoir,04-06-2021,0.003,0.62,11.92,0.0,6.0,19.8,0.06,0.67,91.58,Good
Ireland,Galway,Reservoir,20-06-2021,0.32,2.41,11.29,0.012,7.71,10.2,0.5,7.15,81.0,Good
England,London,Canal,24-12-2022,0.062,0.34,9.87,0.021,7.1,19.6,1.09,0.41,96.17,Excellent
Canada,British Columbia,Pond,15-05-2020,0.102,,14.23,,6.81,7.8,0.15,0.5,92.67,Good
England,Manchester,Stream,13-12-2023,0.041,0.18,13.27,0.058,7.43,2.8,0.43,0.49,97.72,Excellent
China,Beijing,River,07-08-2023,0.036,0.59,11.89,0.051,6.8,26.4,2.69,0.36,97.49,Excellent
Ireland,Cork,Pond,05-05-2023,0.003,2.2,8.88,0.022,7.55,17.1,0.24,0.38,94.28,Good
USA,Texas,Creek,23-07-2022,0.049,6.21,10.4,,7.0,19.5,1.02,1.16,89.81,Good
China,Guangdong,Canal,08-01-2023,,1.35,10.23,0.119,7.64,25.5,1.64,0.38,85.31,Good
England,Leeds,Creek,16-12-2022,0.024,5.35,14.77,0.008,6.7,9.1,1.48,1.89,92.1,Good
China,Shanghai,Canal,15-11-2023,0.087,2.11,12.24,0.072,7.02,17.8,0.43,0.21,93.0,Good
China,Beijing,Reservoir,06-10-2021,0.025,0.33,11.08,0.06,7.57,28.1,0.25,0.28,98.31,Excellent
England,Manchester,Canal,08-09-2022,0.107,4.87,10.17,0.022,6.77,0.0,0.35,1.05,88.53,Good
USA,Florida,Canal,09-07-2022,0.176,3.01,9.91,0.009,7.01,20.8,0.62,0.13,87.22,Good
Canada,British Columbia,Stream,21-04-2021,,0.8,11.62,0.031,7.17,26.2,,4.5,98.39,Excellent
USA,California,Canal,10-05-2023,0.05,5.93,8.34,0.022,6.81,23.0,0.14,4.18,85.93,Good
China,Jiangsu,Pond,01-06-2021,,1.54,12.41,0.052,6.9,20.2,1.15,4.2,94.01,Good
Canada,British Columbia,Lake,21-02-2021,0.022,0.88,13.89,0.003,7.08,12.8,1.09,0.11,97.82,Excellent
China,Shanghai,Creek,09-07-2022,0.107,0.06,8.63,0.143,7.14,17.2,,0.47,91.16,Good
Canada,Quebec,Lake,09-03-2023,0.007,0.42,12.02,0.0,7.45,20.7,0.19,0.11,99.1,Excellent
USA,Texas,River,16-08-2023,0.001,1.25,11.77,0.014,6.77,0.0,0.37,0.19,98.4,Excellent
China,Jiangsu,River,13-03-2022,0.064,2.81,13.24,0.033,7.17,10.8,0.83,0.07,93.27,Good
Canada,Quebec,Lake,24-11-2022,0.0,2.26,10.07,0.16,7.08,10.5,0.15,0.43,97.17,Excellent
China,Beijing,Pond,29-03-2023,0.073,,11.55,0.006,6.26,12.4,0.06,0.05,88.68,Good
China,Shanghai,Lake,25-10-2020,0.007,0.42,14.2,0.04,7.34,13.7,1.38,3.43,99.14,Excellent
USA,California,Canal,27-08-2020,0.11,0.23,14.06,0.016,6.91,0.5,1.49,1.39,94.2,Good
USA,Texas,Lake,25-12-2020,0.002,1.4,10.0,0.047,7.3,23.8,0.61,2.11,98.15,Excellent
USA,California,River,17-11-2023,0.233,0.12,13.48,0.001,7.69,21.3,1.3,0.98,88.19,Good
China,Jiangsu,Stream,07-06-2022,0.029,2.72,8.98,0.064,7.13,25.6,0.17,1.92,92.59,Good
England,London,River,02-03-2020,0.168,3.34,11.38,0.059,7.9,6.7,2.06,0.25,87.43,Good
China,Jiangsu,Pond,02-03-2022,0.032,2.39,11.22,0.017,6.74,6.7,0.68,0.32,95.44,Excellent
USA,California,Creek,20-06-2020,0.038,6.1,12.18,0.095,6.59,10.7,0.6,0.39,90.47,Good
Ireland,Cork,Reservoir,24-02-2022,0.164,1.0,12.37,0.032,7.5,7.4,0.05,3.8,90.54,Good
USA,Florida,River,26-04-2021,0.006,2.2,9.14,0.0,6.75,26.9,0.07,4.7,94.8,Good
China,Guangdong,Reservoir,23-08-2023,0.056,0.0,13.99,0.062,7.01,17.4,0.17,2.85,97.2,Excellent
Canada,Ontario,Creek,11-11-2022,0.155,2.4,13.39,0.017,7.96,12.4,0.35,1.07,89.26,Good
USA,New York,Reservoir,12-05-2022,0.197,1.14,12.73,0.02,6.37,20.3,0.17,0.07,83.06,Good
China,Shanghai,Lake,06-10-2021,0.027,0.69,9.75,,6.53,14.6,0.06,1.07,97.19,Excellent
Ireland,Limerick,Canal,20-04-2023,0.047,0.17,14.57,0.014,7.53,0.0,0.46,0.76,97.43,Excellent
Ireland,Dublin,River,08-01-2020,0.02,1.07,13.02,0.044,6.29,26.2,2.72,0.31,91.62,Good
Canada,Ontario,Stream,07-04-2022,0.068,3.6,9.66,0.014,7.14,13.1,2.4,0.2,91.25,Good
Canada,Ontario,Reservoir,25-07-2021,0.139,0.16,11.51,0.019,6.82,12.3,1.05,2.16,92.84,Good
Ireland,Limerick,Stream,01-06-2020,0.038,0.05,14.91,0.107,7.26,2.2,0.22,0.22,98.03,Excellent
Ireland,Dublin,Pond,04-04-2020,0.171,1.26,14.42,0.037,7.23,1.1,0.58,0.49,89.85,Good
England,Leeds,Pond,09-03-2022,0.044,3.11,10.23,0.026,7.53,21.5,0.36,0.26,93.9,Good
England,Birmingham,River,31-05-2020,,1.35,10.27,0.009,6.65,23.7,0.16,0.07,95.25,Excellent
USA,New York,Reservoir,04-09-2021,0.051,9.22,9.9,0.078,7.2,12.3,,0.43,85.69,Good
USA,California,Pond,05-04-2021,0.037,2.32,9.59,0.014,6.88,16.2,1.38,0.27,94.21,Good
Ireland,Dublin,Canal,04-07-2022,0.032,7.8,11.52,0.016,7.44,16.6,0.53,0.39,88.67,Good
China,Guangdong,River,27-03-2022,0.074,1.26,7.41,0.219,7.13,30.9,1.68,0.55,88.28,Good
China,Guangdong,Canal,20-06-2023,0.038,2.76,10.82,0.13,6.62,12.5,0.47,2.74,94.67,Good
England,London,Creek,13-06-2023,0.13,2.72,11.92,0.015,7.56,16.7,0.56,0.51,90.1,Good
USA,Florida,Canal,24-02-2023,0.041,,11.78,0.004,6.93,3.8,0.62,0.03,97.76,Excellent
Canada,Alberta,Stream,27-01-2023,0.235,0.22,11.55,0.044,6.88,6.4,0.75,3.39,87.96,Good
Canada,British Columbia,Creek,15-10-2020,0.123,7.25,11.28,0.023,7.42,17.5,0.47,1.74,84.76,Good
England,Leeds,Lake,06-03-2022,0.238,0.32,10.45,0.018,7.65,23.6,0.13,2.93,87.69,Good
China,Jiangsu,Canal,01-02-2020,0.007,0.49,12.93,0.138,7.51,11.3,0.14,4.33,99.02,Excellent
China,Shanghai,Creek,06-06-2022,0.043,0.8,12.47,0.046,7.11,8.8,2.98,0.28,96.83,Excellent
China,Beijing,Stream,19-12-2022,0.299,1.03,14.2,0.05,7.64,1.0,0.36,1.91,83.77,Good
England,London,Reservoir,03-03-2020,0.054,0.61,12.37,0.03,6.78,18.3,0.39,0.56,96.54,Excellent
Ireland,Limerick,Lake,13-01-2022,0.349,2.87,11.76,0.036,6.82,11.5,0.33,2.65,78.97,Fair
England,London,Creek,19-07-2022,0.259,3.2,9.52,0.038,6.88,9.6,,0.36,81.84,Good
England,London,Pond,02-05-2023,0.072,,10.12,0.046,7.6,14.3,0.45,2.13,95.36,Excellent
Canada,Quebec,River,27-06-2020,0.201,3.97,11.94,0.011,6.96,29.2,,1.89,84.99,Good
Canada,Alberta,Pond,04-01-2022,0.135,0.35,12.89,0.008,7.28,13.6,0.38,0.23,92.79,Good
England,Manchester,Stream,31-01-2020,0.01,2.26,10.82,0.006,6.93,13.3,,1.55,96.68,Excellent
Ireland,Dublin,Creek,12-01-2020,0.177,0.1,8.99,0.001,7.22,17.3,1.05,0.78,88.51,Good
China,Guangdong,Lake,29-05-2020,0.078,2.16,11.64,0.007,6.5,17.2,0.4,0.05,93.37,Good
England,Birmingham,Reservoir,11-11-2022,0.1,,14.06,0.072,6.89,18.9,0.16,1.38,93.85,Good
Ireland,Dublin,Stream,23-09-2022,0.034,0.35,14.63,0.135,7.59,8.5,0.35,0.17,97.87,Excellent
England,Birmingham,Pond,03-07-2020,0.064,4.26,14.34,0.11,7.19,6.3,0.48,1.54,91.47,Good
Canada,Alberta,Reservoir,27-02-2022,0.019,2.78,11.39,0.007,6.98,11.1,2.1,1.75,95.57,Excellent
China,Shanghai,Canal,01-06-2020,0.242,,14.44,0.003,6.74,14.5,1.36,1.21,86.61,Good
USA,Pennsylvania,Pond,13-08-2023,0.159,1.75,11.97,0.008,7.73,15.6,,2.15,89.84,Good
China,Shanghai,Reservoir,07-07-2020,0.012,1.25,13.54,0.022,7.11,3.2,,2.25,97.87,Excellent
China,Jiangsu,Lake,11-06-2022,0.255,2.01,12.41,0.034,7.55,9.7,2.11,0.66,84.76,Good
Ireland,Cork,Lake,15-10-2020,0.018,2.22,12.74,0.002,7.32,17.5,,2.32,96.35,Excellent
China,Jiangsu,Reservoir,15-11-2022,,0.01,15.0,0.009,7.05,19.3,0.48,7.2,97.13,Excellent
China,Beijing,Stream,19-04-2020,0.459,0.28,11.51,0.028,7.02,20.8,0.56,1.56,76.72,Fair
Ireland,Galway,Reservoir,27-09-2020,0.049,0.43,11.5,0.011,8.49,10.4,2.09,1.88,97.04,Excellent
USA,Pennsylvania,Reservoir,26-10-2023,0.1,0.28,9.57,0.049,6.69,21.4,0.14,0.65,93.56,Good
Ireland,Galway,Stream,02-04-2020,0.135,8.76,11.4,0.093,7.42,16.3,0.52,0.15,82.31,Good
Ireland,Limerick,Canal,01-11-2022,0.067,4.7,13.61,0.163,6.73,22.0,0.59,0.2,90.79,Good
Canada,Ontario,Canal,29-03-2023,0.138,1.54,11.18,0.04,6.78,24.1,0.63,0.5,91.18,Good
Canada,Quebec,Canal,21-01-2022,0.018,,14.7,0.04,6.88,8.0,0.43,1.27,94.69,Good
England,London,Pond,22-03-2023,0.274,5.03,14.39,0.006,7.07,4.4,0.97,0.05,80.01,Good
USA,California,River,18-07-2023,0.002,4.09,12.42,0.085,6.66,24.6,1.53,1.36,94.78,Good
England,Manchester,Pond,01-12-2021,0.067,0.55,12.72,0.1,7.43,7.0,1.3,1.03,95.94,Excellent
England,Birmingham,River,29-07-2022,0.018,0.86,9.29,0.0,7.54,20.8,0.07,2.14,96.26,Excellent
Canada,Quebec,Canal,05-10-2020,0.159,8.51,11.44,0.069,7.4,14.3,0.26,1.54,81.44,Good
Ireland,Limerick,Lake,27-10-2022,0.04,8.91,13.84,0.012,8.38,14.8,0.48,1.11,86.86,Good
Canada,British Columbia,Pond,27-07-2021,0.148,2.15,11.02,0.213,6.0,0.6,0.15,0.64,82.39,Good
USA,California,River,21-09-2022,0.045,0.25,11.92,0.002,7.78,16.3,1.51,0.03,97.44,Excellent
China,Shanghai,Lake,11-11-2023,0.03,0.02,13.03,0.04,7.36,7.8,0.06,1.43,98.5,Excellent
Ireland,Limerick,Lake,03-07-2020,0.052,1.76,10.44,0.021,7.28,22.2,1.04,0.53,95.21,Excellent
Canada,Alberta,River,08-03-2022,0.019,4.09,11.17,0.024,7.8,2.9,1.75,0.02,93.96,Good
China,Guangdong,River,13-09-2022,0.192,0.2,12.81,0.007,8.11,7.2,0.24,3.1,90.14,Good
USA,California,Canal,20-12-2021,0.143,1.19,10.03,0.013,7.31,21.9,0.44,0.57,91.39,Good
China,Beijing,River,25-08-2020,0.062,1.52,13.31,0.035,6.79,6.2,4.44,1.59,95.0,Good
China,Guangdong,River,04-06-2023,0.02,1.28,14.54,0.058,7.14,6.7,0.34,2.07,97.39,Excellent
Canada,Alberta,Canal,11-08-2020,0.038,0.14,11.18,0.039,6.97,4.3,0.85,0.83,97.91,Excellent
USA,Florida,Lake,25-05-2022,0.009,1.43,10.03,0.026,7.15,35.0,0.18,1.14,97.73,Excellent
USA,California,Pond,12-01-2022,0.056,0.08,9.79,0.028,7.43,27.0,0.22,2.17,96.61,Excellent
Canada,Alberta,River,12-03-2023,0.093,2.04,9.16,0.119,6.88,27.6,0.01,0.11,90.7,Good
Canada,Quebec,River,08-03-2020,0.042,0.66,11.46,0.127,6.76,25.6,0.02,1.14,97.1,Excellent
England,London,Canal,31-05-2022,0.014,0.57,11.02,0.002,6.58,5.3,3.52,1.62,98.56,Excellent
China,Guangdong,Pond,31-01-2020,0.049,0.98,11.08,0.008,7.22,13.5,1.12,0.36,96.35,Excellent
USA,New York,Reservoir,05-12-2023,0.145,0.0,9.24,0.115,7.96,24.4,0.04,1.34,90.84,Good
USA,Pennsylvania,Creek,01-10-2021,0.168,2.06,13.58,0.017,6.82,13.7,0.9,2.04,89.03,Good
China,Guangdong,Pond,23-08-2021,0.07,2.81,9.56,,7.98,25.1,0.26,0.4,91.89,Good
Canada,Quebec,Canal,08-03-2023,0.045,0.0,9.22,0.047,6.34,16.1,1.19,0.04,90.0,Good
China,Jiangsu,Stream,29-04-2023,0.013,1.42,10.23,0.052,7.4,21.8,2.71,3.27,97.57,Excellent
China,Shanghai,Canal,24-04-2022,0.255,0.85,8.79,,7.26,30.7,0.38,0.85,83.16,Good
Ireland,Cork,Creek,10-06-2021,0.084,2.86,9.36,0.024,6.51,14.9,,1.64,90.61,Good
Ireland,Limerick,Canal,24-08-2020,0.03,0.39,12.42,0.073,6.99,12.8,0.85,4.36,97.99,Excellent
England,London,Creek,20-11-2022,0.029,2.41,12.45,0.02,7.9,9.8,0.18,0.55,95.52,Excellent
Canada,Alberta,Lake,28-09-2021,0.216,2.01,11.33,0.098,7.34,24.7,,3.02,86.68,Good
China,Beijing,Lake,24-05-2020,0.255,2.32,13.0,0.025,6.74,19.9,0.0,1.53,84.33,Good
USA,Florida,Reservoir,02-04-2020,0.019,2.0,12.25,0.03,7.75,11.3,1.69,2.34,96.55,Excellent
Canada,British Columbia,Canal,23-02-2023,0.022,0.33,11.4,0.012,7.24,25.5,1.2,3.32,98.5,Excellent
China,Jiangsu,Lake,03-11-2023,0.189,1.89,12.64,0.005,7.48,15.6,0.15,0.46,88.17,Good
Canada,Ontario,Stream,30-08-2021,0.064,1.58,11.18,0.089,8.03,20.0,0.63,0.91,94.82,Good
Canada,British Columbia,Stream,08-06-2021,0.124,1.22,12.94,0.249,6.87,16.6,0.23,1.22,92.28,Good
China,Shanghai,Reservoir,06-11-2020,0.009,1.61,9.76,0.026,7.9,15.8,0.59,0.82,96.94,Excellent
England,London,Stream,13-07-2021,0.081,2.44,7.87,0.102,7.7,21.0,0.52,1.28,87.58,Good
China,Jiangsu,River,29-05-2022,0.0,1.12,9.8,0.026,6.57,28.2,0.13,0.76,98.1,Excellent
England,Manchester,Creek,27-01-2023,0.031,2.81,13.05,0.034,6.68,10.0,0.5,0.66,94.95,Good
Canada,British Columbia,Reservoir,14-01-2023,0.179,4.13,11.78,0.027,6.9,8.3,1.02,1.03,85.89,Good
China,Shanghai,Creek,13-09-2021,,1.27,15.0,0.002,7.56,7.3,0.03,3.4,92.34,Good
Canada,British Columbia,Canal,11-04-2021,0.062,1.22,12.24,,7.34,20.6,0.22,1.98,95.4,Excellent
England,Birmingham,Stream,09-10-2020,0.107,4.04,12.37,0.107,6.0,19.1,0.07,1.71,82.12,Good
China,Beijing,Reservoir,15-11-2021,,1.98,11.33,0.046,7.54,16.6,0.13,0.23,97.44,Excellent
USA,New York,Canal,28-06-2022,0.349,1.84,14.11,0.006,7.17,5.5,1.61,0.74,80.24,Good
Ireland,Dublin,Stream,07-01-2022,,0.27,11.49,0.077,6.47,2.3,1.67,4.94,91.27,Good
England,Birmingham,Reservoir,12-06-2020,0.018,2.69,12.6,0.057,7.47,25.1,0.45,1.36,95.76,Excellent
Ireland,Limerick,Lake,25-02-2021,,5.58,12.89,0.007,7.2,17.3,,0.73,82.96,Good
China,Shanghai,Pond,20-01-2020,0.018,2.74,11.24,0.014,7.02,19.0,0.22,1.19,95.67,Excellent
China,Beijing,Creek,13-11-2021,0.108,0.85,10.4,0.148,8.17,22.1,0.75,0.42,93.53,Good
Ireland,Dublin,River,07-10-2022,0.052,1.63,13.79,0.017,6.87,3.5,0.46,0.52,95.35,Excellent
Ireland,Dublin,Pond,13-05-2023,0.105,1.84,10.72,0.018,6.57,9.9,2.36,0.46,92.47,Good
USA,Texas,River,19-06-2020,,1.68,11.08,0.028,6.98,16.8,1.16,2.19,96.88,Excellent
USA,New York,Canal,05-11-2022,0.009,0.01,10.69,0.007,8.21,9.4,0.28,2.13,99.52,Excellent
England,London,Creek,07-11-2023,0.268,1.39,12.72,0.042,7.93,15.4,0.53,3.05,84.88,Good
USA,Texas,Reservoir,27-08-2021,,0.24,10.98,0.079,7.94,16.7,0.56,1.62,91.13,Good
England,Leeds,River,07-11-2023,0.087,4.45,10.55,0.028,7.15,27.4,0.0,0.53,90.07,Good
Canada,Quebec,Pond,18-02-2020,0.067,1.09,13.74,0.017,7.64,13.4,0.54,0.71,95.27,Excellent
England,Birmingham,Lake,07-10-2021,0.202,0.48,12.07,0.005,7.27,21.8,0.48,0.41,89.29,Good
Ireland,Dublin,Pond,28-12-2020,0.276,2.57,14.02,0.062,7.65,0.1,0.35,1.37,82.98,Good
USA,California,Pond,03-10-2020,0.06,2.14,14.19,0.065,7.04,19.4,0.8,1.48,94.3,Good
Canada,Alberta,Reservoir,04-03-2023,,0.84,11.0,0.075,7.18,9.9,0.23,0.09,90.69,Good
Ireland,Dublin,River,19-11-2020,0.056,0.03,10.3,0.021,6.96,26.5,0.95,5.64,97.18,Excellent
England,London,River,16-10-2021,0.063,0.82,11.4,,7.07,9.7,0.35,0.17,95.84,Excellent
USA,Florida,Lake,09-01-2021,0.023,1.5,10.61,0.023,7.62,20.3,1.2,0.37,96.96,Excellent
Ireland,Galway,Stream,21-07-2023,0.075,0.5,13.08,0.048,7.0,19.7,0.18,0.23,95.64,Excellent
China,Guangdong,River,16-06-2022,0.119,5.19,10.61,0.049,8.15,17.5,0.83,0.76,87.58,Good
Ireland,Dublin,Canal,05-10-2022,0.126,4.26,14.77,0.041,7.17,10.8,2.22,3.65,88.36,Good
USA,New York,Pond,26-01-2021,0.022,,11.04,0.04,7.48,16.8,0.39,1.22,96.34,Excellent
Canada,Alberta,Creek,01-02-2023,0.087,0.07,13.16,0.02,7.16,14.8,1.2,0.95,95.56,Excellent
USA,Florida,Pond,23-04-2023,0.024,0.07,12.42,0.05,7.4,16.9,0.04,0.16,98.71,Excellent
Ireland,Dublin,Lake,26-09-2023,0.066,0.03,8.97,0.049,6.71,19.9,0.41,0.11,94.09,Good
USA,California,River,15-03-2022,0.113,0.47,13.67,0.009,7.95,27.6,0.4,0.1,93.74,Good
Ireland,Cork,Reservoir,25-01-2020,0.285,7.08,13.85,0.327,7.23,16.3,0.09,1.4,76.88,Fair
Canada,Ontario,River,22-07-2021,0.338,2.46,13.12,0.038,7.63,0.0,0.32,4.18,80.04,Good
Ireland,Cork,River,15-03-2021,0.075,3.87,11.09,0.056,7.15,20.6,0.96,1.54,91.4,Good
England,London,Creek,06-06-2023,0.052,3.26,10.23,0.033,7.45,8.1,0.02,0.77,93.33,Good
Ireland,Dublin,River,16-01-2023,0.005,0.58,11.25,0.031,7.39,10.8,0.59,1.27,99.04,Excellent
Ireland,Dublin,Lake,01-09-2023,0.004,4.02,12.25,0.034,7.74,14.1,0.71,0.32,94.76,Good
Ireland,Cork,Creek,05-01-2022,0.038,1.68,10.32,,6.99,21.4,1.1,0.64,96.01,Excellent
Ireland,Cork,Reservoir,05-11-2023,0.035,0.58,13.93,0.019,8.25,13.8,2.2,2.69,97.55,Excellent
China,Guangdong,Lake,03-04-2020,0.105,0.12,13.33,0.02,6.47,29.6,0.76,2.75,89.45,Good
Ireland,Limerick,River,09-03-2020,0.081,2.08,10.31,0.073,7.26,10.9,0.09,0.88,93.35,Good
USA,New York,Stream,12-03-2023,0.299,0.2,14.64,0.006,7.35,5.9,3.94,0.2,84.83,Good
China,Beijing,Pond,09-02-2020,0.044,7.08,14.93,0.001,6.94,7.8,0.77,1.86,88.93,Good
England,Leeds,Canal,26-01-2023,0.107,0.73,12.38,,7.23,5.3,1.09,0.37,93.75,Good
USA,California,Creek,03-03-2022,,2.67,13.19,0.148,7.08,17.0,0.98,0.37,95.11,Excellent
England,Leeds,Reservoir,31-03-2020,0.248,2.79,12.87,,6.34,22.5,0.35,2.34,78.33,Fair
Canada,Alberta,Creek,30-06-2021,0.099,1.44,11.57,0.027,7.53,29.0,1.21,0.63,93.26,Good
Canada,Quebec,Pond,31-01-2021,0.076,2.4,14.94,0.007,7.09,13.4,0.52,5.01,93.21,Good
China,Guangdong,Reservoir,04-04-2023,0.01,,13.06,0.082,6.79,23.3,0.17,0.92,98.1,Excellent
Ireland,Cork,River,06-01-2020,0.05,0.13,11.96,0.048,6.38,18.1,1.21,3.81,91.72,Good
England,Leeds,Stream,11-02-2022,0.023,1.88,13.19,0.018,7.43,10.2,0.09,0.01,96.5,Excellent
Canada,British Columbia,Reservoir,17-01-2020,0.158,2.5,9.51,0.004,6.32,15.8,0.25,2.21,81.86,Good
Canada,Quebec,Pond,13-12-2021,,0.1,9.83,0.017,6.53,14.4,2.32,3.29,92.23,Good
USA,California,Stream,11-03-2021,0.064,0.66,14.57,,6.85,7.3,1.85,0.2,95.95,Excellent
England,Birmingham,Reservoir,23-09-2020,0.329,1.99,11.09,0.005,7.57,26.9,0.09,0.75,81.07,Good
